group_id,group_name
PWY-6809,neoxanthin biosynthesis
PWYQT-4427,sulfoquinovosyl diacylglycerol biosynthesis
PWY-4861,UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-5995,linoleate biosynthesis I (plants)
PWY-5640,nitrobenzene degradation II
PWY-6837,"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"
PWY-7071,steviol glucoside biosynthesis (rebaudioside A biosynthesis)
PWY-7101,5-deoxystrigol biosynthesis
PWY1F-353,glycine betaine biosynthesis III (plants)
PWY-5342,ajugose biosynthesis I (galactinol-dependent)
PWY-6348,phosphate acquisition
PWY-5340,sulfate activation for sulfonation
PWY-6792,scopoletin biosynthesis
P401-PWY,cyanide degradation
PWY-2902,cytokinin-<i>O</i>-glucosides biosynthesis
PWY-6235,hydroxyjasmonate sulfate biosynthesis
PWY-5698,allantoin degradation to ureidoglycolate II (ammonia producing)
HOMOCYSDEGR-PWY,L-cysteine biosynthesis III (from L-homocysteine)
PWY-762,phospholipid desaturation
PWY-6938,NADH repair
PWY0-166,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)
PWY-3881,mannitol biosynthesis
PWY-4983,nitric oxide biosynthesis II (mammals)
PWY-6804,diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-6475,<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)
PWY-43,putrescine biosynthesis II
PWY4FS-4,phosphatidylcholine biosynthesis IV
PWY-6442,spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-6823,molybdenum cofactor biosynthesis
PWY-5269,cardiolipin biosynthesis II
PWY-2602,brassinosteroid biosynthesis III
CAROTENOID-PWY,superpathway of carotenoid biosynthesis in plants
GLUTAMINDEG-PWY,L-glutamine degradation I
PWY-5690,TCA cycle II (plants and fungi)
PWY-5350,thiosulfate disproportionation IV (rhodanese)
PWY-6932,selenate reduction
PWY-3801,sucrose degradation II (sucrose synthase)
PWY4FS-3,phosphatidylcholine biosynthesis III
TYRFUMCAT-PWY,L-tyrosine degradation I
PWY-6964,ammonia assimilation cycle II
PWY-6498,eumelanin biosynthesis
PWY-7185,UTP and CTP dephosphorylation I
PWY-5863,superpathway of phylloquinol biosynthesis
PWY-4302,aerobic respiration III (alternative oxidase pathway)
PWY-1187,glucosinolate biosynthesis from homomethionine
PWY-6606,guanosine nucleotides degradation II
PWY-5670,epoxysqualene biosynthesis
PWY-6213,cadmium transport I
PWY-1722,"formate assimilation into 5,10-methylenetetrahydrofolate"
PWY-5138,"unsaturated, even numbered fatty acid &beta;-oxidation"
PWY-361,phenylpropanoid biosynthesis
PWY-7061,glutamate-glutamine shuttle
PWY-6364,"D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis"
GLYCOLYSIS,glycolysis I (from glucose 6-phosphate)
ARGININE-SYN4-PWY,L-ornithine biosynthesis II
PWY-7075,phenylethyl acetate biosynthesis
PWY-6950,DIMBOA-glucoside biosynthesis
PWY-6917,vernolate biosynthesis III
PWY-1921,indole-3-acetate activation II
PWY-6897,thiamine salvage II
PWY-5048,rosmarinic acid biosynthesis I
PWY-5829,geraniol and geranial biosynthesis
PWY-5826,hypoglycin biosynthesis
PWY-2981,diterpene phytoalexins precursors biosynthesis
PWY-6602,naringenin <i>C</i>-glucosylation
PWY-7188,eriodictyol <I>C</i>-glucosylation
PWY-6949,DIBOA-glucoside biosynthesis
PWY-4601,arsenate reduction (respiratory)
PWY-5408,9-lipoxygenase and 9-hydroperoxide lyase pathway
PWY-5160,rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside)
PWY-5937,Fe(III)-phytosiderophore transport
PWY-7478,oryzalexin D and E biosynthesis
PWY-7252,luteolinidin 5-<i>O</i>-glucoside biosynthesis
PWY-5059,pinobanksin biosynthesis
PWY-241,"C4 photosynthetic carbon assimilation cycle, NADP-ME type"
PWY-5474,hydroxycinnamic acid tyramine amides biosynthesis
PWY-7029,terminal olefins biosynthesis II
PWY-6515,phloridzin biosynthesis
PWY-6888,zealexin biosynthesis
PWY-5116,sakuranetin biosynthesis
PWY-5754,4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-5983,trehalose biosynthesis VI
PWY-5976,dhurrin degradation
PWY-6227,purine uptake
PWY-7214,baicalein degradation (hydrogen peroxide detoxification)
PWY-6494,gibberellin inactivation III (epoxidation)
PWY-5733,germacrene biosynthesis
PWY-7458,violdelphin biosynthesis
PWY-5793,maysin biosynthesis
PWY-6120,L-tyrosine biosynthesis III
PWY-1961,indole-3-acetate inactivation I
PWY-6859,<i>all-trans</i>-farnesol biosynthesis
PWY-7709,(3<i>R</i>)-linalool biosynthesis
PWY-6281,L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-5925,hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-6440,spermine and spermidine degradation II
PWY-6887,kauralexin biosynthesis
PWY-7280,ternatin C3 biosynthesis
PWY-6482,diphthamide biosynthesis (archaea)
PWY-7232,gibberellin biosynthesis V
PWY-7497,3&beta;-hydroxysesquiterpene lactone biosynthesis
PWY-822,fructan biosynthesis
PWY-7253,apigeninidin 5-<i>O</i>-glucoside biosynthesis
PWY-7642,abscisic acid degradation to 7'-hydroxyabscisate
PWY-6243,bergamotene biosynthesis I
PWY-6540,costunolide biosynthesis
PWY-6144,CMP-<i>N</i>-glycoloylneuraminate biosynthesis
PWY-5912,2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-7484,"phytocassanes biosynthesis, shared reactions"
PWY-5365,linear furanocoumarin biosynthesis
PWY-5774,saponin biosynthesis IV
PWY-7182,linalool biosynthesis I
LARABITOLUTIL-PWY,xylitol degradation
PWY-7212,baicalein metabolism
PWY-5139,pelargonidin conjugates biosynthesis
PWY-5872,ubiquinol-10 biosynthesis (eukaryotic)
PWY-6079,anthranilate degradation I (aerobic)
PWY-6824,justicidin B biosynthesis
PWY-5284,shisonin biosynthesis
PWY-6257,curcumene biosynthesis
PWY-6330,acetaldehyde biosynthesis II
PWY-6237,nucleobase ascorbate transport I
PWY-7477,momilactone A biosynthesis
PWY-4621,arsenate detoxification II (glutaredoxin)
PWY-6585,2-methylketone biosynthesis
PWY-4441,DIMBOA-glucoside activation
PWY-7394,urate conversion to allantoin II
PWY-7430,indole degradation to anthranil and anthranilate
PWY-7189,pinocembrin <i>C</i>-glucosylation
PWY-7117,"C4 photosynthetic carbon assimilation cycle, PEPCK type"
PWY-7546,diphthamide biosynthesis (eukaryotes)
PWY-46,putrescine biosynthesis III
PWY-5307,gentiodelphin biosynthesis
PWY-7464,"cyanidin 3,7-diglucoside polyacylation biosynthesis"
PWY-7489,"oryzalexin A, B, and C biosynthesis"
PWY-6320,phaselate biosynthesis
PWY-7093,vicianin bioactivation
PWY-6990,(+)-camphor biosynthesis
PWY-7411,phosphatidate biosynthesis (yeast)
PWY-6752,<i>o</i>-diquinones biosynthesis
PWY-862,fructan degradation
PWY-3022,linamarin biosynthesis
PWY-6002,lotaustralin degradation
PWY-5295,ternatin C5 biosynthesis
PWY-2861,biochanin A conjugates interconversion
PWY-7055,daphnetin modification
PWY-5864,superpathway of plastoquinol biosynthesis
PWY-7076,"3,5-dimethoxytoluene biosynthesis"
PWY-6013,crepenynate biosynthesis
PWY-7260,delphinidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-2761,(-)-glycinol biosynthesis
PWY-6933,seleno-amino acid detoxification and volatilization III
PWY-7069,oleanolate biosynthesis
PWY-5310,superpathway of anthocyanin biosynthesis (from delphinidin 3-<i>O</i>-glucoside)
PWY-6841,homophytochelatin biosynthesis
PWY-5312,superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)
PWY-5751,phenylethanol biosynthesis
PWY-6840,homoglutathione biosynthesis
PWY-6401,hispidol and hispidol 4'-<i>O</i>-&beta;-<i>D</i>-glucoside biosynthesis
PWY-5286,anthocyanidin sophoroside metabolism
PWY-7487,(+)-secoisolariciresinol diglucoside biosynthesis
PWY-5407,9-lipoxygenase and 9-allene oxide synthase pathway
PWY-7256,cyanidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-5729,vestitol and sativan biosynthesis
PWY-7363,papaverine biosynthesis
PWY-2464,(-)-maackiain biosynthesis
PWY-2463,(-)-medicarpin biosynthesis
PWY-6325,echinatin biosynthesis
PWY-2229,superpathway of pterocarpan biosynthesis (via formononetin)
PWY-5468,lupanine biosynthesis
PWY-6697,oxalate degradation IV
PWY-2083,isoflavonoid biosynthesis II
PWY-7420,monoacylglycerol metabolism (yeast)
PWY-6464,polyvinyl alcohol degradation
PWY-7259,pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-2002,isoflavonoid biosynthesis I
PWY-5338,galactosylcyclitol biosynthesis
PWY-2321,formononetin biosynthesis
PWY-4201,volatile cinnamoic ester biosynthesis
PWY-7141,(3<i>S</i>)-linalool biosynthesis
PWY-5835,geranyl acetate biosynthesis
PWY-7129,quercetin glucoside biosynthesis (<i>Allium</i>)
PWY-6801,volatile esters biosynthesis (during fruit ripening)
PWY-7066,glycyrrhetinate biosynthesis
PWY-6029,"2,3-<i>trans</i>-flavanols biosynthesis"
PWY-6665,pterostilbene biosynthesis
PWY-5473,hydroxycinnamic acid serotonin amides biosynthesis
PWY-5784,indole-3-acetate inactivation VIII
PWY-6920,6-gingerol analog biosynthesis (engineered)
PWY-6030,serotonin and melatonin biosynthesis
PWY-7463,<i>N</i>-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose biosynthesis
PWY-7481,oryzalide A biosynthesis
PWY-5305,bixin biosynthesis
PWY-7345,superpathway of anaerobic sucrose degradation
PWY-5653,NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-5409,divinyl ether biosynthesis II
PWY-6297,tuberonate glucoside biosynthesis
PWY-5651,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-7452,cyanidin dimalonylglucoside biosynthesis
PWY-5467,gramine biosynthesis
PWY-5406,divinyl ether biosynthesis I
PWY-5821,dalcochinin biosynthesis
PWY-2467,(+)-pisatin biosynthesis
PWY-6135,copper transport I
PWY0-522,lipoate salvage I
PWY-7495,gossypetin metabolism
PWY-7157,eupatolitin 3-<i>O</i>-glucoside biosynthesis
PWY-2561,medicarpin conjugates interconversion
PWY-2345,genistein conjugates interconversion
PWY0-1275,lipoate biosynthesis and incorporation II
PWY-5379,B series fagopyritols biosynthesis
PWY-7498,phenylpropanoids methylation (ice plant)
PWY-5061,"6,7,4'-trihydroxyisoflavone biosynthesis"
URDEGR-PWY,superpathway of allantoin degradation in plants
PWY-5110,trigonelline biosynthesis
PWY-5695,inosine 5'-phosphate degradation
PWY-5874,heme degradation I
PWY-2055,superpathway of pterocarpan biosynthesis (via daidzein)
PWY-5975,furaneol biosynthesis
PWY-5002,tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
PWY-2343,daidzein conjugates interconversion
PWY-5001,tetrahydroxyxanthone biosynthesis (from benzoate)
PWY-5118,ponciretin biosynthesis
PWY-4421,curcumin glucoside biosynthesis
PWY-5787,oligomeric urushiol biosynthesis
PWY-6188,calmodulin regulated calcium transport
PWY-2701,maackiain conjugates interconversion
PWY-7449,acylated cyanidin galactoside biosynthesis
PWY-2762,glyceollin biosynthesis
PWY-2904,formononetin conjugates interconversion
PWY-5318,calystegine biosynthesis
PWY-6447,trichome monoterpenes biosynthesis
PWY-5315,N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation biosynthesis
PWY-5317,hyoscyamine and scopolamine biosynthesis
PWY-7058,esculetin modification
PWY-7342,superpathway of nicotine biosynthesis
PWY-7007,methyl ketone biosynthesis (engineered)
PWY-5759,saponin biosynthesis III
PWY-7163,polymethylated kaempferol biosynthesis
PWY-7160,polymethylated myricetin biosynthesis (tomato)
PWY-7161,polymethylated quercetin biosynthesis
PWY-5316,nicotine biosynthesis
PWY-7191,kaempferol diglycoside biosynthesis (pollen-specific)
PWY-5666,&alpha;-solanine/&alpha;-chaconine biosynthesis
PWY-6926,pyrethrin I biosynthesis
PWY-5797,indole-3-acetate inactivation VI
PWY-2921,capsidiol biosynthesis
PWY-6291,valencene and 7-epi-&alpha;-selinene biosynthesis
PWY-7139,sesaminol glucoside biosynthesis
PWY-5398,crocetin esters biosynthesis
PWY-7341,superpathway of hyoscyamine and scopolamine biosynthesis
